species,size,fragrance,height_cm,petal_length,petal_width,sepal_length,sepal_width
hibiscus,large,none,107.34,5.367,4.2936,75.138,32.202
hibiscus,large,none,184.04,9.202,7.3616,128.828,55.212
rose,small,mild,69.63,3.4815,2.7852,48.741,20.889
shoeblack plant,medium,none,121.14,6.057,4.8456,84.798,36.342
hibiscus,large,none,147.82,7.391,5.9128,103.474,44.346
hibiscus,large,none,122.41,6.1205,4.8964,85.687,36.723
shoeblack plant,large,mild,88.15,4.4075,3.526,61.705,26.445
rose,medium,strong,80.98,4.049,3.2392,56.686,24.294
rose,small,strong,30.61,1.5305,1.2244,21.427,9.183
rose,small,mild,37.81,1.8905,1.5124,26.467,11.343
hibiscus,large,none,193.93,9.6965,7.7572,135.751,58.179
hibiscus,large,none,165.52,8.276,6.6208,115.864,49.656
hibiscus,large,none,104.82,5.241,4.1928,73.374,31.446
shoeblack plant,medium,none,85.56,4.278,3.4224,59.892,25.668
hibiscus,large,none,132.2,6.61,5.288,92.54,39.66
shoeblack plant,medium,none,113.38,5.669,4.5352,79.366,34.014
rose,medium,mild,95.3,4.765,3.812,66.71,28.59
hibiscus,large,none,174.79,8.7395,6.9916,122.353,52.437
rose,medium,strong,93.47,4.6735,3.7388,65.429,28.041
shoeblack plant,large,mild,124.47,6.2235,4.9788,87.129,37.341
rose,small,mild,54.66,2.733,2.1864,38.262,16.398
hibiscus,large,none,178.87,8.9435,7.1548,125.209,53.661
rose,medium,strong,86.44,4.322,3.4576,60.508,25.932
shoeblack plant,medium,mild,90.43,4.5215,3.6172,63.301,27.129
rose,small,mild,64.47,3.2235,2.5788,45.129,19.341
shoeblack plant,medium,none,136.22,6.811,5.4488,95.354,40.866
hibiscus,large,none,159.27,7.9635,6.3708,111.489,47.781
shoeblack plant,medium,none,131.72,6.586,5.2688,92.204,39.516
hibiscus,large,none,153.25,7.6625,6.13,107.275,45.975
rose,small,mild,64.05,3.2025,2.562,44.835,19.215
shoeblack plant,large,none,106.71,5.3355,4.2684,74.697,32.013
rose,medium,strong,39.5,1.975,1.58,27.65,11.85
rose,small,mild,47.67,2.3835,1.9068,33.369,14.301
shoeblack plant,medium,none,112.19,5.6095,4.4876,78.533,33.657
hibiscus,large,none,125.31,6.2655,5.0124,87.717,37.593
rose,medium,mild,62.74,3.137,2.5096,43.918,18.822
rose,medium,strong,51.87,2.5935,2.0748,36.309,15.561
hibiscus,large,none,109.78,5.489,4.3912,76.846,32.934
shoeblack plant,medium,none,106.79,5.3395,4.2716,74.753,32.037
shoeblack plant,large,mild,105.27,5.2635,4.2108,73.689,31.581
hibiscus,large,none,162.56,8.128,6.5024,113.792,48.768
rose,small,mild,76.64,3.832,3.0656,53.648,22.992
rose,medium,mild,39.38,1.969,1.5752,27.566,11.814
hibiscus,large,none,138.78,6.939,5.5512,97.146,41.634
hibiscus,large,none,159.37,7.9685,6.3748,111.559,47.811
shoeblack plant,medium,mild,147.28,7.364,5.8912,103.096,44.184
rose,medium,mild,58.02,2.901,2.3208,40.614,17.406
shoeblack plant,medium,mild,56.75,2.8375,2.27,39.725,17.025
rose,small,strong,94.63,4.7315,3.7852,66.241,28.389
shoeblack plant,large,mild,56.68,2.834,2.2672,39.676,17.004
shoeblack plant,medium,none,109.83,5.4915,4.3932,76.881,32.949
shoeblack plant,large,none,86.46,4.323,3.4584,60.522,25.938
shoeblack plant,large,none,104.26,5.213,4.1704,72.982,31.278
hibiscus,large,none,194.79,9.7395,7.7916,136.353,58.437
rose,medium,mild,84.31,4.2155,3.3724,59.017,25.293
rose,small,mild,30.25,1.5125,1.21,21.175,9.075
hibiscus,large,none,184.64,9.232,7.3856,129.248,55.392
shoeblack plant,medium,none,81.09,4.0545,3.2436,56.763,24.327
rose,medium,mild,92.58,4.629,3.7032,64.806,27.774
hibiscus,large,none,117.33,5.8665,4.6932,82.131,35.199
shoeblack plant,medium,mild,146.97,7.3485,5.8788,102.879,44.091
hibiscus,large,none,154.09,7.7045,6.1636,107.863,46.227
rose,medium,mild,66.81,3.3405,2.6724,46.767,20.043
hibiscus,large,none,132.28,6.614,5.2912,92.596,39.684
shoeblack plant,medium,none,135.34,6.767,5.4136,94.738,40.602
hibiscus,large,none,154.78,7.739,6.1912,108.346,46.434
hibiscus,large,none,149.44,7.472,5.9776,104.608,44.832
rose,medium,mild,79.62,3.981,3.1848,55.734,23.886
hibiscus,large,none,180.58,9.029,7.2232,126.406,54.174
rose,small,strong,36.77,1.8385,1.4708,25.739,11.031
hibiscus,large,none,151.4,7.57,6.056,105.98,45.42
hibiscus,large,none,188.01,9.4005,7.5204,131.607,56.403
rose,medium,mild,75.73,3.7865,3.0292,53.011,22.719
rose,medium,mild,67.17,3.3585,2.6868,47.019,20.151
hibiscus,large,none,155.08,7.754,6.2032,108.556,46.524
shoeblack plant,medium,mild,144.07,7.2035,5.7628,100.849,43.221
shoeblack plant,large,none,90.55,4.5275,3.622,63.385,27.165
rose,medium,strong,36.1,1.805,1.444,25.27,10.83
hibiscus,large,none,111.2,5.56,4.448,77.84,33.36
rose,small,mild,50.1,2.505,2.004,35.07,15.03
shoeblack plant,medium,mild,107.89,5.3945,4.3156,75.523,32.367
hibiscus,large,none,142.36,7.118,5.6944,99.652,42.708
shoeblack plant,large,none,142.65,7.1325,5.706,99.855,42.795
shoeblack plant,medium,none,88.56,4.428,3.5424,61.992,26.568
rose,medium,strong,64.84,3.242,2.5936,45.388,19.452
shoeblack plant,large,mild,112.79,5.6395,4.5116,78.953,33.837
rose,medium,strong,50.25,2.5125,2.01,35.175,15.075
hibiscus,large,none,113.2,5.66,4.528,79.24,33.96
shoeblack plant,medium,none,105.24,5.262,4.2096,73.668,31.572
hibiscus,large,none,126.86,6.343,5.0744,88.802,38.058
hibiscus,large,none,148.07,7.4035,5.9228,103.649,44.421
hibiscus,large,none,137.25,6.8625,5.49,96.075,41.175
hibiscus,large,none,177.51,8.8755,7.1004,124.257,53.253
rose,small,mild,43.45,2.1725,1.738,30.415,13.035
hibiscus,large,none,149.57,7.4785,5.9828,104.699,44.871
rose,medium,mild,53.18,2.659,2.1272,37.226,15.954
shoeblack plant,medium,none,70.21,3.5105,2.8084,49.147,21.063
hibiscus,large,none,120.51,6.0255,4.8204,84.357,36.153
hibiscus,large,none,191.85,9.5925,7.674,134.295,57.555
hibiscus,large,none,184.34,9.217,7.3736,129.038,55.302
rose,medium,mild,42.84,2.142,1.7136,29.988,12.852
shoeblack plant,medium,none,127.43,6.3715,5.0972,89.201,38.229
rose,small,mild,69.33,3.4665,2.7732,48.531,20.799
rose,small,strong,82.33,4.1165,3.2932,57.631,24.699
shoeblack plant,large,none,98.95,4.9475,3.958,69.265,29.685
shoeblack plant,medium,none,115.65,5.7825,4.626,80.955,34.695
rose,small,mild,42.78,2.139,1.7112,29.946,12.834
shoeblack plant,medium,none,144.18,7.209,5.7672,100.926,43.254
hibiscus,large,none,180.23,9.0115,7.2092,126.161,54.069
shoeblack plant,large,mild,110.15,5.5075,4.406,77.105,33.045
hibiscus,large,none,160.16,8.008,6.4064,112.112,48.048
rose,medium,mild,93.78,4.689,3.7512,65.646,28.134
rose,small,mild,51.65,2.5825,2.066,36.155,15.495
hibiscus,large,none,192.23,9.6115,7.6892,134.561,57.669
rose,medium,mild,92.75,4.6375,3.71,64.925,27.825
shoeblack plant,large,mild,85.17,4.2585,3.4068,59.619,25.551
rose,small,strong,84.75,4.2375,3.39,59.325,25.425
rose,medium,strong,48.31,2.4155,1.9324,33.817,14.493
shoeblack plant,medium,mild,53.96,2.698,2.1584,37.772,16.188
hibiscus,large,none,135.5,6.775,5.42,94.85,40.65
rose,small,strong,86.99,4.3495,3.4796,60.893,26.097
shoeblack plant,medium,none,121.07,6.0535,4.8428,84.749,36.321
hibiscus,large,none,128.64,6.432,5.1456,90.048,38.592
hibiscus,large,none,103.04,5.152,4.1216,72.128,30.912
hibiscus,large,none,119.83,5.9915,4.7932,83.881,35.949
shoeblack plant,large,none,129.69,6.4845,5.1876,90.783,38.907
hibiscus,large,none,188.5,9.425,7.54,131.95,56.55
hibiscus,large,none,141.49,7.0745,5.6596,99.043,42.447
rose,small,strong,89.47,4.4735,3.5788,62.629,26.841
hibiscus,large,none,199.65,9.9825,7.986,139.755,59.895
shoeblack plant,large,mild,95.78,4.789,3.8312,67.046,28.734
shoeblack plant,medium,mild,142.61,7.1305,5.7044,99.827,42.783
rose,small,strong,30.09,1.5045,1.2036,21.063,9.027
hibiscus,large,none,165.76,8.288,6.6304,116.032,49.728
hibiscus,large,none,110.23,5.5115,4.4092,77.161,33.069
shoeblack plant,medium,mild,144.21,7.2105,5.7684,100.947,43.263
shoeblack plant,large,none,146.11,7.3055,5.8444,102.277,43.833
hibiscus,large,none,114.83,5.7415,4.5932,80.381,34.449
shoeblack plant,large,none,112.46,5.623,4.4984,78.722,33.738
rose,medium,mild,41.3,2.065,1.652,28.91,12.39
shoeblack plant,large,none,56.4,2.82,2.256,39.48,16.92
shoeblack plant,large,none,67.27,3.3635,2.6908,47.089,20.181
shoeblack plant,medium,mild,128.88,6.444,5.1552,90.216,38.664
shoeblack plant,medium,none,103.46,5.173,4.1384,72.422,31.038
shoeblack plant,large,none,63.53,3.1765,2.5412,44.471,19.059
hibiscus,large,none,195.71,9.7855,7.8284,136.997,58.713
rose,medium,strong,55.39,2.7695,2.2156,38.773,16.617
rose,small,strong,94.61,4.7305,3.7844,66.227,28.383
shoeblack plant,medium,none,128.11,6.4055,5.1244,89.677,38.433
rose,small,mild,48.08,2.404,1.9232,33.656,14.424
shoeblack plant,medium,none,56.49,2.8245,2.2596,39.543,16.947
hibiscus,large,none,108.59,5.4295,4.3436,76.013,32.577
hibiscus,large,none,157.33,7.8665,6.2932,110.131,47.199
rose,small,mild,38.62,1.931,1.5448,27.034,11.586
shoeblack plant,medium,none,101.13,5.0565,4.0452,70.791,30.339
rose,small,mild,89.97,4.4985,3.5988,62.979,26.991
hibiscus,large,none,188.21,9.4105,7.5284,131.747,56.463
shoeblack plant,medium,mild,141.44,7.072,5.6576,99.008,42.432
hibiscus,large,none,113.39,5.6695,4.5356,79.373,34.017
rose,medium,strong,38.88,1.944,1.5552,27.216,11.664
shoeblack plant,medium,none,110.5,5.525,4.42,77.35,33.15
rose,small,mild,46.79,2.3395,1.8716,32.753,14.037
hibiscus,large,none,106.93,5.3465,4.2772,74.851,32.079
rose,small,mild,31.97,1.5985,1.2788,22.379,9.591
rose,small,strong,90.9,4.545,3.636,63.63,27.27
hibiscus,large,none,172.71,8.6355,6.9084,120.897,51.813
hibiscus,large,none,122.28,6.114,4.8912,85.596,36.684
hibiscus,large,none,150.68,7.534,6.0272,105.476,45.204
hibiscus,large,none,161.67,8.0835,6.4668,113.169,48.501
shoeblack plant,large,none,109.31,5.4655,4.3724,76.517,32.793
shoeblack plant,medium,none,58.52,2.926,2.3408,40.964,17.556
rose,medium,mild,58.78,2.939,2.3512,41.146,17.634
shoeblack plant,large,mild,87.96,4.398,3.5184,61.572,26.388
shoeblack plant,large,none,122.73,6.1365,4.9092,85.911,36.819
hibiscus,large,none,192.57,9.6285,7.7028,134.799,57.771
shoeblack plant,large,mild,57.87,2.8935,2.3148,40.509,17.361
hibiscus,large,none,125.64,6.282,5.0256,87.948,37.692
rose,medium,mild,75.52,3.776,3.0208,52.864,22.656
shoeblack plant,medium,mild,108.91,5.4455,4.3564,76.237,32.673
shoeblack plant,large,none,128.44,6.422,5.1376,89.908,38.532
rose,small,strong,78.15,3.9075,3.126,54.705,23.445
shoeblack plant,medium,none,109.35,5.4675,4.374,76.545,32.805
shoeblack plant,medium,mild,58.75,2.9375,2.35,41.125,17.625
rose,small,mild,74.65,3.7325,2.986,52.255,22.395
hibiscus,large,none,129.59,6.4795,5.1836,90.713,38.877
rose,medium,strong,99.93,4.9965,3.9972,69.951,29.979
hibiscus,large,none,109.96,5.498,4.3984,76.972,32.988
hibiscus,large,none,183.12,9.156,7.3248,128.184,54.936
shoeblack plant,large,none,50.68,2.534,2.0272,35.476,15.204
shoeblack plant,large,none,129.48,6.474,5.1792,90.636,38.844
rose,small,strong,45.95,2.2975,1.838,32.165,13.785
hibiscus,large,none,187.61,9.3805,7.5044,131.327,56.283
hibiscus,large,none,100.65,5.0325,4.026,70.455,30.195
hibiscus,large,none,133.52,6.676,5.3408,93.464,40.056
shoeblack plant,medium,none,67.68,3.384,2.7072,47.376,20.304
rose,medium,strong,94.27,4.7135,3.7708,65.989,28.281
hibiscus,large,none,174.82,8.741,6.9928,122.374,52.446
hibiscus,large,none,138.96,6.948,5.5584,97.272,41.688
hibiscus,large,none,136,6.8,5.44,95.2,40.8
shoeblack plant,medium,mild,141.96,7.098,5.6784,99.372,42.588
rose,small,mild,58.3,2.915,2.332,40.81,17.49
rose,medium,mild,85.81,4.2905,3.4324,60.067,25.743
rose,small,mild,54.56,2.728,2.1824,38.192,16.368
hibiscus,large,none,120.62,6.031,4.8248,84.434,36.186
hibiscus,large,none,130.84,6.542,5.2336,91.588,39.252
hibiscus,large,none,123.23,6.1615,4.9292,86.261,36.969
rose,small,strong,33.04,1.652,1.3216,23.128,9.912
rose,small,mild,62.54,3.127,2.5016,43.778,18.762
hibiscus,large,none,186.86,9.343,7.4744,130.802,56.058
rose,medium,strong,41.84,2.092,1.6736,29.288,12.552
shoeblack plant,medium,none,90.32,4.516,3.6128,63.224,27.096
rose,small,strong,57.04,2.852,2.2816,39.928,17.112
rose,medium,mild,90.51,4.5255,3.6204,63.357,27.153
hibiscus,large,none,147.8,7.39,5.912,103.46,44.34
shoeblack plant,medium,mild,146.53,7.3265,5.8612,102.571,43.959
shoeblack plant,medium,none,99.21,4.9605,3.9684,69.447,29.763
shoeblack plant,large,none,70.37,3.5185,2.8148,49.259,21.111
rose,medium,mild,97.93,4.8965,3.9172,68.551,29.379
shoeblack plant,medium,mild,86.94,4.347,3.4776,60.858,26.082
rose,small,strong,92.06,4.603,3.6824,64.442,27.618
shoeblack plant,large,mild,136.88,6.844,5.4752,95.816,41.064
shoeblack plant,medium,mild,86.01,4.3005,3.4404,60.207,25.803
rose,small,strong,90.75,4.5375,3.63,63.525,27.225
hibiscus,large,none,177.46,8.873,7.0984,124.222,53.238
shoeblack plant,large,none,106.52,5.326,4.2608,74.564,31.956
shoeblack plant,medium,none,97.86,4.893,3.9144,68.502,29.358
shoeblack plant,medium,mild,94.36,4.718,3.7744,66.052,28.308
shoeblack plant,large,none,59,2.95,2.36,41.3,17.7
hibiscus,large,none,112.75,5.6375,4.51,78.925,33.825
rose,medium,mild,90.48,4.524,3.6192,63.336,27.144
rose,medium,strong,85,4.25,3.4,59.5,25.5
rose,small,strong,30.56,1.528,1.2224,21.392,9.168
rose,small,strong,72.12,3.606,2.8848,50.484,21.636
rose,small,mild,88.27,4.4135,3.5308,61.789,26.481
shoeblack plant,large,none,85.23,4.2615,3.4092,59.661,25.569
rose,small,mild,69.58,3.479,2.7832,48.706,20.874
hibiscus,large,none,163.38,8.169,6.5352,114.366,49.014
shoeblack plant,medium,none,95.31,4.7655,3.8124,66.717,28.593
rose,medium,mild,66.16,3.308,2.6464,46.312,19.848
rose,small,mild,45.37,2.2685,1.8148,31.759,13.611
rose,small,strong,45.54,2.277,1.8216,31.878,13.662
rose,small,mild,36.88,1.844,1.4752,25.816,11.064
rose,small,mild,87.02,4.351,3.4808,60.914,26.106
shoeblack plant,large,none,74.62,3.731,2.9848,52.234,22.386
shoeblack plant,medium,none,113.32,5.666,4.5328,79.324,33.996
hibiscus,large,none,131.69,6.5845,5.2676,92.183,39.507
shoeblack plant,medium,none,53.14,2.657,2.1256,37.198,15.942
shoeblack plant,medium,none,54.22,2.711,2.1688,37.954,16.266
hibiscus,large,none,152.75,7.6375,6.11,106.925,45.825
rose,small,strong,57.5,2.875,2.3,40.25,17.25
rose,small,strong,43.48,2.174,1.7392,30.436,13.044
rose,medium,mild,75.52,3.776,3.0208,52.864,22.656
rose,medium,strong,40.06,2.003,1.6024,28.042,12.018
rose,medium,strong,58.44,2.922,2.3376,40.908,17.532
shoeblack plant,large,mild,74.95,3.7475,2.998,52.465,22.485
hibiscus,large,none,170.69,8.5345,6.8276,119.483,51.207
shoeblack plant,medium,none,136.63,6.8315,5.4652,95.641,40.989
hibiscus,large,none,121.77,6.0885,4.8708,85.239,36.531
rose,small,strong,62.97,3.1485,2.5188,44.079,18.891
rose,medium,mild,31.23,1.5615,1.2492,21.861,9.369
rose,medium,strong,44.22,2.211,1.7688,30.954,13.266
rose,small,mild,65.73,3.2865,2.6292,46.011,19.719
shoeblack plant,medium,none,121.53,6.0765,4.8612,85.071,36.459
rose,medium,mild,76.28,3.814,3.0512,53.396,22.884
rose,medium,mild,33.93,1.6965,1.3572,23.751,10.179
shoeblack plant,large,mild,133.63,6.6815,5.3452,93.541,40.089
hibiscus,large,none,101.32,5.066,4.0528,70.924,30.396
rose,medium,strong,35.56,1.778,1.4224,24.892,10.668
hibiscus,large,none,190.52,9.526,7.6208,133.364,57.156
shoeblack plant,medium,none,106.78,5.339,4.2712,74.746,32.034
shoeblack plant,large,none,64.54,3.227,2.5816,45.178,19.362
rose,medium,mild,45.58,2.279,1.8232,31.906,13.674
shoeblack plant,large,mild,110,5.5,4.4,77,33
shoeblack plant,large,none,131.92,6.596,5.2768,92.344,39.576
shoeblack plant,medium,none,85.55,4.2775,3.422,59.885,25.665
rose,small,strong,50.08,2.504,2.0032,35.056,15.024
shoeblack plant,large,mild,124.83,6.2415,4.9932,87.381,37.449
rose,small,strong,31.4,1.57,1.256,21.98,9.42
rose,medium,strong,96.05,4.8025,3.842,67.235,28.815
shoeblack plant,medium,none,128.17,6.4085,5.1268,89.719,38.451
hibiscus,large,none,133.12,6.656,5.3248,93.184,39.936
shoeblack plant,large,none,91.74,4.587,3.6696,64.218,27.522
hibiscus,large,none,175.15,8.7575,7.006,122.605,52.545
hibiscus,large,none,129.24,6.462,5.1696,90.468,38.772
shoeblack plant,medium,mild,115.07,5.7535,4.6028,80.549,34.521
rose,small,mild,97.46,4.873,3.8984,68.222,29.238
shoeblack plant,large,mild,133.9,6.695,5.356,93.73,40.17
shoeblack plant,large,none,78.07,3.9035,3.1228,54.649,23.421
hibiscus,large,none,139.65,6.9825,5.586,97.755,41.895
shoeblack plant,medium,none,71.84,3.592,2.8736,50.288,21.552
shoeblack plant,large,none,70.41,3.5205,2.8164,49.287,21.123
rose,medium,strong,40.53,2.0265,1.6212,28.371,12.159
rose,small,strong,66.3,3.315,2.652,46.41,19.89
shoeblack plant,medium,none,89.25,4.4625,3.57,62.475,26.775
shoeblack plant,medium,none,125.52,6.276,5.0208,87.864,37.656
shoeblack plant,medium,mild,124.35,6.2175,4.974,87.045,37.305
rose,small,strong,88.81,4.4405,3.5524,62.167,26.643
shoeblack plant,large,none,99.14,4.957,3.9656,69.398,29.742
rose,medium,mild,53.12,2.656,2.1248,37.184,15.936
hibiscus,large,none,168.13,8.4065,6.7252,117.691,50.439
shoeblack plant,large,mild,110.94,5.547,4.4376,77.658,33.282
shoeblack plant,large,mild,63.62,3.181,2.5448,44.534,19.086
rose,medium,strong,40.45,2.0225,1.618,28.315,12.135
rose,small,mild,92.21,4.6105,3.6884,64.547,27.663
hibiscus,large,none,157.82,7.891,6.3128,110.474,47.346
hibiscus,large,none,170.16,8.508,6.8064,119.112,51.048
shoeblack plant,medium,none,110.46,5.523,4.4184,77.322,33.138
rose,medium,mild,96.37,4.8185,3.8548,67.459,28.911
rose,medium,strong,31.97,1.5985,1.2788,22.379,9.591
rose,medium,strong,35.27,1.7635,1.4108,24.689,10.581
shoeblack plant,medium,mild,133.47,6.6735,5.3388,93.429,40.041
hibiscus,large,none,106.57,5.3285,4.2628,74.599,31.971
shoeblack plant,medium,mild,100.59,5.0295,4.0236,70.413,30.177
shoeblack plant,medium,mild,120.04,6.002,4.8016,84.028,36.012
rose,medium,mild,60.02,3.001,2.4008,42.014,18.006
hibiscus,large,none,158.95,7.9475,6.358,111.265,47.685
hibiscus,large,none,197.32,9.866,7.8928,138.124,59.196
hibiscus,large,none,136.39,6.8195,5.4556,95.473,40.917
shoeblack plant,medium,none,83.84,4.192,3.3536,58.688,25.152
shoeblack plant,medium,none,77.82,3.891,3.1128,54.474,23.346
hibiscus,large,none,107.18,5.359,4.2872,75.026,32.154
rose,small,strong,84.11,4.2055,3.3644,58.877,25.233
shoeblack plant,medium,none,120.88,6.044,4.8352,84.616,36.264
hibiscus,large,none,180.79,9.0395,7.2316,126.553,54.237
hibiscus,large,none,163.82,8.191,6.5528,114.674,49.146
shoeblack plant,large,none,53.86,2.693,2.1544,37.702,16.158
rose,medium,strong,90.89,4.5445,3.6356,63.623,27.267
hibiscus,large,none,150.69,7.5345,6.0276,105.483,45.207
rose,medium,mild,97.76,4.888,3.9104,68.432,29.328
shoeblack plant,large,mild,125.6,6.28,5.024,87.92,37.68
hibiscus,large,none,138.52,6.926,5.5408,96.964,41.556
shoeblack plant,large,none,69.34,3.467,2.7736,48.538,20.802
rose,medium,strong,51.07,2.5535,2.0428,35.749,15.321
shoeblack plant,large,none,90.19,4.5095,3.6076,63.133,27.057
shoeblack plant,large,none,142.58,7.129,5.7032,99.806,42.774
hibiscus,large,none,174.47,8.7235,6.9788,122.129,52.341
shoeblack plant,large,mild,104.55,5.2275,4.182,73.185,31.365
rose,medium,strong,85.18,4.259,3.4072,59.626,25.554
rose,medium,strong,42.49,2.1245,1.6996,29.743,12.747
rose,medium,strong,71.63,3.5815,2.8652,50.141,21.489
rose,medium,strong,57.2,2.86,2.288,40.04,17.16
shoeblack plant,medium,none,66.2,3.31,2.648,46.34,19.86
hibiscus,large,none,151.94,7.597,6.0776,106.358,45.582
shoeblack plant,medium,mild,92.35,4.6175,3.694,64.645,27.705
shoeblack plant,large,mild,138.76,6.938,5.5504,97.132,41.628
shoeblack plant,large,mild,99.72,4.986,3.9888,69.804,29.916
shoeblack plant,large,mild,50.96,2.548,2.0384,35.672,15.288
rose,small,mild,68.22,3.411,2.7288,47.754,20.466
rose,small,strong,44.67,2.2335,1.7868,31.269,13.401
hibiscus,large,none,104.29,5.2145,4.1716,73.003,31.287
shoeblack plant,large,none,100.57,5.0285,4.0228,70.399,30.171
hibiscus,large,none,166.36,8.318,6.6544,116.452,49.908
rose,medium,mild,63.16,3.158,2.5264,44.212,18.948
hibiscus,large,none,160.04,8.002,6.4016,112.028,48.012
shoeblack plant,large,none,120.04,6.002,4.8016,84.028,36.012
hibiscus,large,none,128.39,6.4195,5.1356,89.873,38.517
hibiscus,large,none,168.4,8.42,6.736,117.88,50.52
rose,medium,strong,66.22,3.311,2.6488,46.354,19.866
hibiscus,large,none,111.33,5.5665,4.4532,77.931,33.399
hibiscus,large,none,101.56,5.078,4.0624,71.092,30.468
hibiscus,large,none,191.39,9.5695,7.6556,133.973,57.417
shoeblack plant,medium,mild,92.42,4.621,3.6968,64.694,27.726
hibiscus,large,none,165.69,8.2845,6.6276,115.983,49.707
rose,medium,strong,44.46,2.223,1.7784,31.122,13.338
rose,small,strong,53.87,2.6935,2.1548,37.709,16.161
shoeblack plant,medium,mild,95.09,4.7545,3.8036,66.563,28.527
hibiscus,large,none,106.11,5.3055,4.2444,74.277,31.833
shoeblack plant,medium,mild,71.54,3.577,2.8616,50.078,21.462
rose,medium,mild,89.38,4.469,3.5752,62.566,26.814
hibiscus,large,none,125.35,6.2675,5.014,87.745,37.605
hibiscus,large,none,131.13,6.5565,5.2452,91.791,39.339
shoeblack plant,medium,none,68.19,3.4095,2.7276,47.733,20.457
shoeblack plant,medium,none,135.97,6.7985,5.4388,95.179,40.791
rose,small,strong,56.82,2.841,2.2728,39.774,17.046
hibiscus,large,none,182.85,9.1425,7.314,127.995,54.855
hibiscus,large,none,186.36,9.318,7.4544,130.452,55.908
rose,medium,mild,89.34,4.467,3.5736,62.538,26.802
hibiscus,large,none,191.91,9.5955,7.6764,134.337,57.573
rose,medium,mild,73.58,3.679,2.9432,51.506,22.074
shoeblack plant,medium,mild,143.11,7.1555,5.7244,100.177,42.933
shoeblack plant,medium,none,93.75,4.6875,3.75,65.625,28.125
rose,medium,mild,48.44,2.422,1.9376,33.908,14.532
rose,medium,mild,52.92,2.646,2.1168,37.044,15.876
shoeblack plant,large,mild,83.73,4.1865,3.3492,58.611,25.119
shoeblack plant,medium,mild,131.69,6.5845,5.2676,92.183,39.507
rose,small,strong,37.45,1.8725,1.498,26.215,11.235
hibiscus,large,none,103.87,5.1935,4.1548,72.709,31.161
rose,small,mild,50.63,2.5315,2.0252,35.441,15.189
hibiscus,large,none,169.68,8.484,6.7872,118.776,50.904
shoeblack plant,large,mild,129.38,6.469,5.1752,90.566,38.814
rose,medium,mild,64.92,3.246,2.5968,45.444,19.476
rose,small,mild,76.44,3.822,3.0576,53.508,22.932
shoeblack plant,medium,mild,56.73,2.8365,2.2692,39.711,17.019
hibiscus,large,none,156.1,7.805,6.244,109.27,46.83
rose,medium,strong,78.18,3.909,3.1272,54.726,23.454
hibiscus,large,none,147.63,7.3815,5.9052,103.341,44.289
hibiscus,large,none,156.54,7.827,6.2616,109.578,46.962
shoeblack plant,large,mild,55.76,2.788,2.2304,39.032,16.728
hibiscus,large,none,127.22,6.361,5.0888,89.054,38.166
rose,medium,strong,46.98,2.349,1.8792,32.886,14.094
rose,medium,strong,72.05,3.6025,2.882,50.435,21.615
rose,small,strong,44.12,2.206,1.7648,30.884,13.236
hibiscus,large,none,188.61,9.4305,7.5444,132.027,56.583
hibiscus,large,none,190.79,9.5395,7.6316,133.553,57.237
hibiscus,large,none,173.14,8.657,6.9256,121.198,51.942
hibiscus,large,none,132.99,6.6495,5.3196,93.093,39.897
hibiscus,large,none,180.13,9.0065,7.2052,126.091,54.039
rose,medium,strong,90.75,4.5375,3.63,63.525,27.225
rose,small,strong,60.91,3.0455,2.4364,42.637,18.273
hibiscus,large,none,171.82,8.591,6.8728,120.274,51.546
shoeblack plant,large,none,50.08,2.504,2.0032,35.056,15.024
rose,small,mild,85.12,4.256,3.4048,59.584,25.536
rose,small,strong,47.23,2.3615,1.8892,33.061,14.169
shoeblack plant,medium,none,72.04,3.602,2.8816,50.428,21.612
hibiscus,large,none,105.56,5.278,4.2224,73.892,31.668
shoeblack plant,medium,none,112.95,5.6475,4.518,79.065,33.885
rose,small,strong,62.66,3.133,2.5064,43.862,18.798
rose,medium,mild,38.6,1.93,1.544,27.02,11.58
shoeblack plant,large,none,146.35,7.3175,5.854,102.445,43.905
shoeblack plant,medium,mild,89.25,4.4625,3.57,62.475,26.775
shoeblack plant,large,mild,52.39,2.6195,2.0956,36.673,15.717
shoeblack plant,large,mild,132.75,6.6375,5.31,92.925,39.825
hibiscus,large,none,158.03,7.9015,6.3212,110.621,47.409
rose,small,mild,87.53,4.3765,3.5012,61.271,26.259
rose,medium,mild,52.02,2.601,2.0808,36.414,15.606
shoeblack plant,medium,mild,85.69,4.2845,3.4276,59.983,25.707
shoeblack plant,medium,none,58.85,2.9425,2.354,41.195,17.655
hibiscus,large,none,196.34,9.817,7.8536,137.438,58.902
rose,medium,strong,33.43,1.6715,1.3372,23.401,10.029
hibiscus,large,none,176.85,8.8425,7.074,123.795,53.055
shoeblack plant,large,none,117.55,5.8775,4.702,82.285,35.265
rose,medium,strong,33.58,1.679,1.3432,23.506,10.074
rose,small,strong,65.77,3.2885,2.6308,46.039,19.731
shoeblack plant,medium,mild,113.78,5.689,4.5512,79.646,34.134
hibiscus,large,none,162.4,8.12,6.496,113.68,48.72
hibiscus,large,none,134.83,6.7415,5.3932,94.381,40.449
rose,small,strong,88.71,4.4355,3.5484,62.097,26.613
shoeblack plant,large,mild,62.34,3.117,2.4936,43.638,18.702
shoeblack plant,medium,none,85.94,4.297,3.4376,60.158,25.782
